feature,importance
Elasticity,0.3246395024985758
WageGrowth,0.16714308774406014
InventoryGrowth,0.09262470743216812
PermitsGrowth,0.0817154601679163
MortgageChange,0.13739853231961266
EmpPopRatio,0.19647870983766685
